language,request_count
akan,1
albanian,28
amharic,1
arabic,468
armenian,10
bengali,352
bulgarian,1
burmese,4
cantonese,1947
croatian,7
dari,5
farsi,9
french,519
french canadian,1
fulani,2
fuzhou,5
georgian,21
german,7
greek,29
gujarati,3
haitian creole,1071
hebrew,23
hindi,31
hmong,1
hungarian,21
ilocano,1
indonesian,2
italian,47
japanese,35
korean,484
krio,1
malayalam,1
mandarin,6129
mandinka,1
moroccan arabic,5
nepali,15
pashto,3
polish,147
portuguese,45
portuguese brazilian,2
pulaar,2
punjabi,16
romanian,2
russian,3871
serbian,4
sinhala,1
sorani,1
spanish,34317
sudanese arabic,2
swahili,1
sylheti,5
tagalog,3
tajik,1
telugu,2
thai,8
tibetan,1
tigrigna,1
toishanese,4
turkish,68
ukrainian,22
urdu,66
uzbek,63
vietnamese,9
wolof,28
yemeni arabic,6
yiddish,11
